2015-01-10,3
2015-01-11,1
2015-01-12,1
2015-01-15,2
2015-01-16,1
2015-01-18,5
2015-01-19,3
2015-01-20,2
2015-01-21,2
2015-01-23,1
2015-01-25,1
2015-01-26,1
2015-01-28,2
2015-01-29,2
2015-02-01,4
2015-02-02,4
2015-02-03,1
2015-02-04,5
2015-02-05,4
2015-02-06,1
2015-02-07,2
2015-02-09,1
2015-02-10,2
2015-02-11,6
2015-02-12,13
2015-02-13,1
2015-02-14,13
2015-02-15,1
2015-02-16,1
2015-02-17,3
2015-02-19,3
2015-02-20,2
2015-02-22,4
2015-02-23,16
2015-02-25,1
2015-02-26,5
2015-02-27,11
2015-02-28,3
2015-03-01,1
2015-03-04,3
2015-03-05,1
2015-03-06,4
2015-03-07,3
2015-03-08,20
2015-03-09,3
2015-03-10,4
2015-03-12,3
2015-03-13,2
2015-03-16,4
2015-03-17,3
2015-03-18,4
2015-03-19,2
2015-03-21,1
2015-03-22,1
2015-03-24,1
2015-03-25,1
2015-03-26,1
2015-03-29,2
2015-03-30,1
2015-03-31,4
2015-04-01,11
2015-04-02,8
2015-04-03,4
2015-04-05,4
2015-04-06,2
2015-04-09,2
2015-04-10,5
2015-04-12,1
2015-04-13,2
2015-04-18,1
2015-04-21,4
2015-04-22,3
2015-04-24,1
2015-04-25,2
2015-04-28,3
2015-04-30,2
2015-05-01,2
2015-05-02,3
2015-05-04,1
2015-05-05,2
2015-05-06,1
2015-05-08,1
2015-05-10,1
2015-05-14,3
2015-05-15,1
2015-05-19,1
2015-05-20,1
2015-05-21,3
2015-05-27,1
2015-05-31,2
2015-06-02,1
2015-06-03,4
2015-06-07,1
2015-06-08,1
2015-06-11,3
2015-06-12,1
2015-06-13,3
2015-06-14,8
2015-06-15,2
2015-06-23,1
2015-06-24,7
2015-06-28,2
2015-06-29,3
2015-06-30,2
2015-07-03,1
2015-07-05,2
2015-07-08,1
2015-07-09,5
2015-07-10,2
2015-07-11,1
2015-07-12,1
2015-07-13,2
2015-07-15,1
2015-07-21,2
2015-07-22,1
2015-07-25,2
2015-07-27,1
2015-07-29,1
2015-07-30,5
2015-07-31,5
2015-08-01,2
2015-08-02,7
2015-08-03,4
2015-08-04,2
2015-08-05,2
2015-08-09,1
2015-08-10,1
2015-08-12,2
2015-08-14,2
2015-08-17,1
2015-08-21,1
2015-08-27,1
2015-09-02,1
2015-09-05,1
2015-09-08,1
2015-09-09,1
2015-09-13,1
2015-09-14,2
2015-09-15,1
2015-09-17,2
2015-09-19,1
2015-09-20,2
2015-09-21,1
2015-09-24,3
2015-09-25,1
2015-10-02,1
2015-10-04,1
2015-10-07,3
2015-10-09,2
2015-10-10,1
2015-10-11,4
2015-10-13,1
2015-10-14,1
2015-10-28,6
2015-10-30,1
2015-11-03,6
2015-11-06,2
2015-11-07,4
2015-11-08,3
2015-11-09,1
2015-11-10,2
2015-11-20,1
2015-11-24,1
2015-11-29,2
2015-12-05,5
2015-12-08,2
2015-12-09,2
2015-12-10,1
2015-12-12,1
2015-12-22,1
2015-12-25,1
2015-12-26,2
2015-12-29,2
2015-12-30,3
